ACTI	AC	MBEP	CR	IC	IS	MBEA	EXTRA	SATLD	JOBSAT	GOAL	RETENT	QUIT	ACS	ALT.W	ALT.NW	ALT.P
2.31	3.75	2.14	2	3.22	4.1	3.71	1.67	2	3	3.17	3.5	3.17	2.75	5	4.25	3.5
1.94	2.88	2.14	2.67	2.89	3.3	3.71	1	3	4	3.83	3	1.17	2.5	4	3.25	3.25
1.6	3	4.14	2.33	2.44	2.7	3	2	1.5	4	3.17	3.5	2.83	2.25	4	3.75	3.75
1.77	2.5	3	2.78	3.11	2.7	3.43	1	1	4	3.67	4.5	1.5	4	5	5	5
1.49	3.13	3.29	2	2.22	2.6	3.57	1.33	1.5	4	3.67	3	1.5	1.25	5	3.5	5
3.06	4	2	3.56	4.22	4.5	3.86	3	4	4	3.8	4.5	1	4.5	4	4.25	4
3	4	1.71	3.67	4	4.3	3.57	3	4	5	4.67	4.75	1	1.75	5	5	4.5
1.79	3.63	1.29	1.22	2.78	3.5	3.29	3	3	4	4.5	3.5	1.33	1	5	4.5	4.25
2.05	3.38	2.14	2.89	2.89	3	3.14	1.67	3	4	4.33	4.75	1	3.75	4	3	3.25
2.44	3.13	1.57	3.11	3.89	3.5	3.43	3.33	4	4	4.33	3.75	1	3.25	4.75	4	4.75
2.1	3.38	2.57	2.22	3.33	3.5	3.14	2	1.5	4	2.67	2.25	2.83	2.75	3.75	4.25	4.75
2.6	3.75	2.57	3.22	3.78	3.6	3.86	3.33	3.5	4	4	3.25	1	3	4.25	3.25	4.75
1.03	2.88	3.86	1	2.22	2.1	2.14	0.33	1	3	3.5	2.75	1	2	4	3.5	4.5
1.86	2.88	3	3	2.78	2.8	3.14	1.33	1.5	3	3.83	3.25	1	2	4	3.25	3.5
2.01	3.25	2.86	3.11	3.33	2.4	2.86	1.67	1	4	3.17	3.5	1	2	5	5	3.5
1.2	2.63	3.14	2	2.56	1.7	1.71	1	2	5	4.67	2.5	1	1.25	4.75	5	4.25
2.07	3.75	3.43	2.44	3.33	2.8	2.86	1.33	3	5	4.17	3.25	1.5	2	4	4.25	4.25
1.08	2.5	3	1.44	2.44	2	2.57	0.67	1	4	2.83	2.5	1	1.25	3.75	3.25	3.25
2.59	3.75	1.71	3.33	3.78	3.5	2.57	2	3	4	4	3.25	1.5	1.25	3.5	3.25	3.75
3.04	4	1.29	3	4.56	4.5	3.71	3.33	3.5	5	4.83	3.75	1	3.5	5	3.75	5
1.96	3.25	2.71	2.78	3.33	2.6	2.71	0.67	1.5	4	3.67	3.25	1	2.75	5	3.5	4.75
2.29	3.75	2.43	2.11	3.67	3.6	3.14	1	3	5	4.17	3.75	1	4	4.25	3.5	4
2.85	3.88	2.29	3.67	4.33	3.6	3	2.33	3	5	4.33	4.75	1	3.75	5	5	4.75
1.9	3.5	1.29	2.33	2.56	3.3	2.71	2.67	4	4	4.33	4	1	3.25	4.5	3.75	4.5
1.44	2.5	2.71	1.89	2.89	2.5	2.14	1.33	1	5	4.5	3.75	1	3	4.75	4.75	5
2.15	3.38	2.29	2.44	3.44	3.3	3.29	2.33	3	2	4	3.25	2.83	3.25	3.75	3	3.25
2.22	3.63	2.29	2.67	3.67	2.9	3.14	1.67	2	4	4.17	3.75	1.5	3.75	4	4	3.75
1.86	2.75	3.14	2.89	3	2.8	2.57	1.33	2	4	3.33	3	2.5	2	3.5	2.75	3.75
3.39	4.5	2	3.11	4.89	5	3.71	4	4	5	4.83	4.5	1	3	4.75	5	4.25
1.12	2.63	2.71	1.78	1.67	2.3	3	0.33	2.5	4	4	3.25	2.67	2	4.75	4	4.25
2.25	3.63	2.71	2.67	3.56	3	3.14	2.33	3.5	4	4.33	4	1	3	4.5	4.5	4.25
2.39	3.5	1.86	1.67	4.22	4.1	3.57	2.33	3	5	4.5	3.5	1	3.5	4.75	4.25	4.5
1.59	2.88	3.29	2.22	3	2.3	2.57	1	1	5	4.33	3.25	1	4.75	4.75	5	4.75
2.39	4.38	2.29	2.67	3.33	3.1	3.43	2.67	3	5	3.33	2	1.33	1.25	4	3.75	4.25
3.29	4.5	2	3.89	4.33	4.4	3.57	3.33	4	5	4.83	4.5	1	3.25	5	5	4.75
1.31	2.5	2.43	1.56	2.44	2.7	2	0.67	1.5	4	4	3	1	2	4	3.25	4.5
0.86	2.25	4	2.11	1.78	1.2	2.43	0	1.5	4	3.33	3	1.5	1	5	4.5	4.5
2.51	3.88	3.14	3.22	3.67	3.3	3.14	2.67	2.5	5	4.33	4	1	5	4.5	3.5	4.75
1.97	3	3.86	3.22	2.67	2.9	3.86	2.33	2.5	4	3.67	3.25	3.17	2	4.75	4.75	4.25
1.51	2.75	4.14	2.22	2.56	2.5	2.43	0.67	0.5	5	3.17	3.75	1	2.75	5	3.25	5
1.58	2.88	1.57	1.33	2.89	3.1	2.86	1.67	3	4	3.83	4.25	1	1.25	5	3.75	4.25
1.28	3.13	2.29	1.56	2.44	2	2.14	1	1	5	4.33	4	1	2.75	3.5	3.75	4.5
2.28	3.5	1.86	2.56	3.44	3.6	2.86	2	4	4	4.17	4	1	3.25	4	3.25	4
2.19	3.75	1.43	1.78	3.67	3.6	2.29	1.67	3.5	5	4	3.75	1	3	4	4	4.25
2.69	3.88	1.86	3.33	3.78	3.7	3	2	3.5	4	3.83	4.25	1	3.25	4	3.5	4
1.69	3	2	1.56	2.44	3.8	1.86	1	0.5	4	2.33	2.5	1	2	3.5	2.25	4.5
